Id,region,date,mortality_rate,O3,PM10,PM25,NO2,T2M
1,E12000001,2007-01-02,2.264,42.358,9.021,,,278.138
2,E12000001,2007-01-03,2.030,49.506,5.256,,,281.745
3,E12000001,2007-01-04,1.874,51.101,4.946,,,280.523
4,E12000001,2007-01-05,2.069,47.478,6.823,,,280.421
5,E12000001,2007-01-06,1.913,45.226,7.532,,,278.961
6,E12000001,2007-01-07,1.756,53.226,5.607,,,281.504
7,E12000001,2007-01-08,1.756,48.177,4.674,,,279.519
8,E12000001,2007-01-09,2.147,56.917,5.979,,,281.866
9,E12000001,2007-01-10,2.186,45.757,3.433,,,278.044
10,E12000001,2007-01-11,1.249,56.388,6.159,,,280.358
11,E12000001,2007-01-12,2.342,56.014,5.962,,,282.104
12,E12000001,2007-01-13,1.444,55.656,5.122,,,280.847
13,E12000001,2007-01-14,1.678,54.312,4.990,,,279.163
14,E12000001,2007-01-15,2.186,56.654,5.590,,,280.905
15,E12000001,2007-01-16,1.795,33.107,7.525,,,276.678
16,E12000001,2007-01-17,1.678,50.589,5.812,,,278.028
17,E12000001,2007-01-18,2.576,45.819,3.722,,,278.681
18,E12000001,2007-01-19,2.030,49.809,8.244,,,280.647
19,E12000001,2007-01-20,1.756,49.056,6.767,,,278.567
20,E12000001,2007-01-21,1.834,47.730,3.846,,,275.684
21,E12000001,2007-01-22,1.834,48.284,3.341,,,275.259
22,E12000001,2007-01-23,1.756,42.107,2.798,,,272.845
23,E12000001,2007-01-24,1.678,52.358,3.155,,,275.514
24,E12000001,2007-01-25,2.186,41.495,4.348,,,274.234
25,E12000001,2007-01-26,1.327,46.715,5.215,,,277.705
26,E12000001,2007-01-27,1.834,48.000,4.707,,,278.780
27,E12000001,2007-01-28,1.366,54.158,2.884,,,280.840
28,E12000001,2007-01-29,1.913,47.568,6.490,,,280.227
29,E12000001,2007-01-30,1.834,49.412,6.048,,,277.497
30,E12000001,2007-01-31,2.147,49.603,4.470,,,282.047
31,E12000001,2007-02-01,1.600,39.469,7.329,,,281.423
32,E12000001,2007-02-02,1.678,43.624,8.418,,,279.311
33,E12000001,2007-02-03,1.600,38.709,5.702,,,276.103
34,E12000001,2007-02-04,1.678,34.037,15.420,,,275.448
35,E12000001,2007-02-05,1.639,38.911,7.673,,,274.143
36,E12000001,2007-02-06,1.522,36.650,9.351,,,272.302
