radiation,timeUTC
0.0,2016-09-30 00:00:00
0.0,2016-09-30 00:30:00
0.0,2016-09-30 01:00:00
0.0,2016-09-30 01:30:00
0.0,2016-09-30 02:00:00
0.0,2016-09-30 02:30:00
0.0,2016-09-30 03:00:00
0.0,2016-09-30 03:30:00
0.0,2016-09-30 04:00:00
0.0,2016-09-30 04:30:00
0.0,2016-09-30 05:00:00
0.0,2016-09-30 05:30:00
0.0,2016-09-30 06:00:00
9.47400356004635,2016-09-30 06:30:00
245.7710800663087,2016-09-30 07:00:00
458.17685386185815,2016-09-30 07:30:00
592.5262248671215,2016-09-30 08:00:00
679.9285139037063,2016-09-30 08:30:00
739.2819037514662,2016-09-30 09:00:00
780.7573451284795,2016-09-30 09:30:00
810.0475425282557,2016-09-30 10:00:00
830.4848004026835,2016-09-30 10:30:00
844.0702697607743,2016-09-30 11:00:00
851.9923664440302,2016-09-30 11:30:00
854.8931749388556,2016-09-30 12:00:00
852.9981911882323,2016-09-30 12:30:00
846.1593390725116,2016-09-30 13:00:00
833.8267086020638,2016-09-30 13:30:00
814.9388931782992,2016-09-30 14:00:00
787.6904025396968,2016-09-30 14:30:00
749.0779173386738,2016-09-30 15:00:00
694.0048263341487,2016-09-30 15:30:00
613.4480673039317,2016-09-30 16:00:00
490.70110288542054,2016-09-30 16:30:00
296.3613649581615,2016-09-30 17:00:00
38.708797308701286,2016-09-30 17:30:00
0.0,2016-09-30 18:00:00
0.0,2016-09-30 18:30:00
0.0,2016-09-30 19:00:00
0.0,2016-09-30 19:30:00
0.0,2016-09-30 20:00:00
0.0,2016-09-30 20:30:00
0.0,2016-09-30 21:00:00
0.0,2016-09-30 21:30:00
0.0,2016-09-30 22:00:00
0.0,2016-09-30 22:30:00
0.0,2016-09-30 23:00:00
0.0,2016-09-30 23:30:00
0.0,2016-10-01 00:00:00
0.0,2016-10-01 00:30:00
0.0,2016-10-01 01:00:00
0.0,2016-10-01 01:30:00
0.0,2016-10-01 02:00:00
0.0,2016-10-01 02:30:00
0.0,2016-10-01 03:00:00
0.0,2016-10-01 03:30:00
0.0,2016-10-01 04:00:00
0.0,2016-10-01 04:30:00
0.0,2016-10-01 05:00:00
0.0,2016-10-01 05:30:00
0.0,2016-10-01 06:00:00
5.352981785945599,2016-10-01 06:30:00
232.75103547614782,2016-10-01 07:00:00
