utc,imbalance_price_£/MWh,day_ahead_£/MWh
2016-09-30 23:00:00,26.96688,37.05
2016-09-30 23:30:00,26.25,37.05
2016-10-01 00:00:00,26.35916,30.5
2016-10-01 00:30:00,22.0,30.5
2016-10-01 01:00:00,22.0,31.54
2016-10-01 01:30:00,22.1036,31.54
2016-10-01 02:00:00,25.0,29.03
2016-10-01 02:30:00,23.0,29.03
2016-10-01 03:00:00,10.0,27.22
2016-10-01 03:30:00,10.0,27.22
2016-10-01 04:00:00,10.0,28.0
2016-10-01 04:30:00,22.27432,28.0
2016-10-01 05:00:00,23.0,30.41
2016-10-01 05:30:00,26.341140000000003,30.41
2016-10-01 06:00:00,31.43637,35.95
2016-10-01 06:30:00,32.94,35.95
2016-10-01 07:00:00,31.280009999999997,34.11
2016-10-01 07:30:00,31.6,34.11
2016-10-01 08:00:00,32.94,50.0
2016-10-01 08:30:00,31.586640000000003,50.0
2016-10-01 09:00:00,49.0,69.94
2016-10-01 09:30:00,48.05912,69.94
2016-10-01 10:00:00,31.6,60.03
2016-10-01 10:30:00,32.94,60.03
2016-10-01 11:00:00,31.41917,65.0
2016-10-01 11:30:00,28.02,65.0
2016-10-01 12:00:00,28.81,55.0
2016-10-01 12:30:00,28.81,55.0
2016-10-01 13:00:00,40.0,35.0
2016-10-01 13:30:00,32.94,35.0
2016-10-01 14:00:00,51.98826,32.68
2016-10-01 14:30:00,67.0,32.68
2016-10-01 15:00:00,139.63333,33.03
2016-10-01 15:30:00,178.92083,33.03
2016-10-01 16:00:00,175.27022,38.0
2016-10-01 16:30:00,166.49324,38.0
2016-10-01 17:00:00,165.16872,58.52
2016-10-01 17:30:00,67.0,58.52
2016-10-01 18:00:00,67.95,89.97
2016-10-01 18:30:00,65.0,89.97
2016-10-01 19:00:00,53.99,119.97
2016-10-01 19:30:00,32.94,119.97
2016-10-01 20:00:00,30.1,54.38
2016-10-01 20:30:00,27.0,54.38
2016-10-01 21:00:00,27.0,43.12
2016-10-01 21:30:00,27.0,43.12
2016-10-01 22:00:00,26.19171,32.0
2016-10-01 22:30:00,27.0,32.0
2016-11-01 00:00:00,27.2,39.39
2016-11-01 00:30:00,27.2,39.39
2016-11-01 01:00:00,26.88148,38.28
2016-11-01 01:30:00,26.8,38.28
2016-11-01 02:00:00,26.2,34.6
2016-11-01 02:30:00,26.71395,34.6
2016-11-01 03:00:00,26.67625,32.87
2016-11-01 03:30:00,26.368000000000002,32.87
2016-11-01 04:00:00,27.03067,31.99
2016-11-01 04:30:00,39.99,31.99
2016-11-01 05:00:00,56.323440000000005,36.99
2016-11-01 05:30:00,56.32695,36.99
2016-11-01 06:00:00,79.0,47.0
2016-11-01 06:30:00,56.53858,47.0
2016-11-01 07:00:00,50.0,41.87
2016-11-01 07:30:00,155.0,41.87
2016-11-01 08:00:00,154.68,53.79
2016-11-01 08:30:00,86.05809,53.79
2016-11-01 09:00:00,70.05258,64.91
2016-11-01 09:30:00,103.82123,64.91
2016-11-01 10:00:00,51.45608,55.25
2016-11-01 10:30:00,49.9524,55.25
2016-11-01 11:00:00,49.95,55.0
2016-11-01 11:30:00,48.85,55.0
2016-11-01 12:00:00,30.25,55.0
2016-11-01 12:30:00,30.3,55.0
2016-11-01 13:00:00,30.25,44.0
2016-11-01 13:30:00,30.2,44.0
2016-11-01 14:00:00,30.2,42.0
2016-11-01 14:30:00,30.09065,42.0
2016-11-01 15:00:00,29.5,39.99
2016-11-01 15:30:00,29.5,39.99
2016-11-01 16:00:00,25.06356,50.13
2016-11-01 16:30:00,24.835829999999998,50.13
2016-11-01 17:00:00,25.982670000000002,160.75
2016-11-01 17:30:00,25.2729,160.75
2016-11-01 18:00:00,29.536620000000003,100.0
2016-11-01 18:30:00,30.05265,100.0
2016-11-01 19:00:00,30.12391,64.97
2016-11-01 19:30:00,30.0785,64.97
2016-11-01 20:00:00,30.06376,56.4
2016-11-01 20:30:00,30.04018,56.4
2016-11-01 21:00:00,29.36373,52.75
2016-11-01 21:30:00,28.1,52.75
2016-11-01 22:00:00,26.95317,43.09
2016-11-01 22:30:00,26.802740000000004,43.09
2016-11-01 23:00:00,26.119670000000003,43.72
2016-11-01 23:30:00,24.451529999999998,43.72
2016-12-01 00:00:00,27.12,45.01
2016-12-01 00:30:00,27.2,45.01
2016-12-01 01:00:00,27.2,42.09
2016-12-01 01:30:00,26.6,42.09
2016-12-01 02:00:00,23.0925,39.59
2016-12-01 02:30:00,24.0,39.59
2016-12-01 03:00:00,21.456789999999998,37.94
2016-12-01 03:30:00,20.17967,37.94
2016-12-01 04:00:00,-5.0,36.79
2016-12-01 04:30:00,-5.0,36.79
2016-12-01 05:00:00,22.869320000000002,38.04
2016-12-01 05:30:00,21.27069,38.04
2016-12-01 06:00:00,-7.97767,41.96
2016-12-01 06:30:00,15.22901,41.96
2016-12-01 07:00:00,22.72785,51.65
2016-12-01 07:30:00,28.103279999999998,51.65
2016-12-01 08:00:00,81.22152,55.01
2016-12-01 08:30:00,56.59825,55.01
2016-12-01 09:00:00,28.55,55.97
2016-12-01 09:30:00,27.93983,55.97
2016-12-01 10:00:00,28.341929999999998,52.44
2016-12-01 10:30:00,28.2,52.44
2016-12-01 11:00:00,45.74487,42.71
2016-12-01 11:30:00,47.23,42.71
2016-12-01 12:00:00,133.38832,45.03
2016-12-01 12:30:00,47.23,45.03
2016-12-01 13:00:00,109.88691999999999,45.99
2016-12-01 13:30:00,62.73287,45.99
2016-12-01 14:00:00,49.0,47.21
2016-12-01 14:30:00,47.99884,47.21
2016-12-01 15:00:00,28.45,48.94
2016-12-01 15:30:00,48.68488,48.94
2016-12-01 16:00:00,51.81627,96.78
2016-12-01 16:30:00,29.80058,96.78
2016-12-01 17:00:00,30.05,234.02
2016-12-01 17:30:00,28.9,234.02
2016-12-01 18:00:00,29.76625,104.1
