SPECIAL EVENTS CALENDAR 2017,,,,,,,,
,,,,,,,,
UPDATED 28 February 2017,,,,,,,,
,,,,,,,,Buses booked
Day,Date,Type,Event,Kick off,Vehicle Requirement,Tacho,Comments,out by
,,,,,,,,
Sun,010117,GWR Rail Repl,Slough Standby,,DD High Speed,No,Duty 9730 65A 0730 - 1715 Minimum 30 minute break,Night Chargehand
,,,,,DD High Speed,No,Duty 9731 65B 1530 - 2345 Minimum 30 minute break,Night Chargehand
,,,,,DD High Speed,No,Duty 9732 66A 0730 - 1715 Minimum 30 minute break,Night Chargehand
,,,,,DD High Speed,No,Duty 9733 66B 1530 - 2345 Minimum 30 minute break,Night Chargehand
Mon,020117,GWR Rail Repl,Slough Standby,,DD High Speed,No,Duty 9730 35A 0530 - 1515 Minimum 30 minute break,Night Chargehand
,,,,,DD High Speed,No,Duty 9731 36B 1330 - 2345 Minimum 30 minute break,Night Chargehand
,,,,,DD High Speed,No,Duty 9732 36A 0530 - 1515 Minimum 30 minute break,Night Chargehand
,,,,,DD High Speed,No,Duty 9733 36B 1330 - 2345 Minimum 30 minute break,Night Chargehand
Tues,030117,GWR Rail Repl,Slough Standby,,DD High Speed,No,Duty 9730 6A 0530 - 1245 Minimum 30 minute break,Night Chargehand
,,,,,DD High Speed,No,Duty 9731 7A 0530 - 1245 Minimum 30 minute break,Night Chargehand
Tues,030117,Vodafone Shuttle,Bracknell - Vodafone,,generic SD or DD,No,Duty 9650 (0508 - 1008) (see work ticket),Night Chargehand
,,Vodafone Shuttle,Bracknell - Vodafone,,generic SD or DD,No,Duty 9651 (1513 - 2012) (see work ticket),Night Chargehand
Wed,040117,Vodafone Shuttle,Bracknell - Vodafone,,generic SD or DD,No,Duty 9650 (0508 - 1008) (see work ticket),Night Chargehand
,,Vodafone Shuttle,Bracknell - Vodafone,,generic SD or DD,No,Duty 9651 (1513 - 2012) (see work ticket),Night Chargehand
Thurs,050117,Vodafone Shuttle,Bracknell - Vodafone,,generic SD or DD,No,Duty 9650 (0508 - 1008) (see work ticket),Night Chargehand
,,Vodafone Shuttle,Bracknell - Vodafone,,generic SD or DD,No,Duty 9651 (1513 - 2012) (see work ticket),Night Chargehand
Fri,060117,Vodafone Shuttle,Bracknell - Vodafone,,generic SD or DD,No,Duty 9650 (0508 - 1008) (see work ticket),Night Chargehand
,,Vodafone Shuttle,Bracknell - Vodafone,,generic SD or DD,No,Duty 9651 (1513 - 2012) (see work ticket),Night Chargehand
Sat,070117,GWR Rail Repl,Twyford and,,SD High Back Seats,No,Duty 9730 39A 2329 - 0155,Night Chargehand
,,,Reading,,SD High Back Seats,No,Duty 9731 42A 2349 - 0305,Night Chargehand
Mon,090117,Vodafone Shuttle,Bracknell - Vodafone,,generic SD or DD,No,Duty 9650 (0508 - 1008) (see work ticket),Night Chargehand
,,Vodafone Shuttle,Bracknell - Vodafone,,generic SD or DD,No,Duty 9651 (1513 - 2012) (see work ticket),Night Chargehand
Mon,090117,Southern Rail Repl,Redhill area,,DD High Speed,No,Duty 9730 501A 0425 - 1620 30 minute break to be arranged,Night Chargehand
,,,,,DD High Speed,No,Duty 9731 502A 0425 - 1620 30 minute break to be arranged,Night Chargehand
,,,,,Ferry Vehicle,No,Duty 9732 511A 1225 - 0020 30 minute break to be arranged,Night Chargehand
,,,,,Ferry Vehicle,No,Duty 9733 512A 1225 - 0020 30 minute break to be arranged,Night Chargehand
